%gen_inp
cde	뒽
cdx	뒾
cdw	뒿
crf	듂
crv	듃
crk	듅
crg	듆
crj	듉
crn	듊
crr	듋
crp	듌
crt	듍
cri	듎
cwr	듏
crh	듒
crm	듔
cvf	듞
cvv	듟
cvk	듡
cvg	듢
cvj	듥
cvn	듦
cvr	듧
cvp	듨
cvt	듩
cvi	듪
cwv	듫
cvh	듮
cvm	듰
cl	듸
cly	듹
clf	듺
clv	듻
cll	듼
clk	듽
clg	듾
clc	듿
cls	딀
clj	딁
cln	딂
clr	딃
clp	딄
clt	딅
cli	딆
cwl	딇
clo	딈
cla	딉
clh	딊
clb	딋
clm	딌
clq	딍
clu	딎
cld	딏
clz	딐
cle	딑
clx	딒
clw	딓
cif	딖
civ	딗
cik	딙
cig	딚
cij	딝
cin	딞
cir	딟
cip	딠
cit	딡
cii	딢
cwi	딣
cih	딦
cim	딨
#s5
gk	따
gky	딱
gkf	딲
gkv	딳
gkl	딴
gkk	딵
gkg	딶
gkc	딷
gks	딸
gkj	딹
gkn	딺
gkr	딻
gkp	딼
gkt	딽
gki	딾
gwk	딿
gko	땀
gka	땁
gkh	땂
gkb	땃
gkm	땄
gkq	땅
gku	땆
gkd	땇
gkz	땈
gke	땉
gkx	땊
gkw	땋
gh	때
ghy	땍
ghf	땎
ghv	땏
ghl	땐
ghk	땑
ghg	땒
ghc	땓
ghs	땔
ghj	땕
ghn	땖
ghr	땗
ghp	땘
ght	땙
ghi	땚
gwh	땛
gho	땜
gha	땝
ghh	땞
ghb	땟
ghm	땠
ghq	땡
ghu	땢
ghd	땣
ghz	땤
ghe	땥
ghx	땦
ghw	땧
gf	땨
gfy	땩
gff	땪
gfv	땫
gfl	땬
gfk	땭
gfg	땮
gfc	땯
gfs	땰
gfj	땱
gfn	땲
gfr	땳
gfp	땴
gft	땵
gfi	땶
gwf	땷
gfo	땸
gfa	땹
gfh	땺
gfb	땻
gfm	땼
gfq	땽
gfu	땾
gfd	땿
gfz	떀
gfe	떁
gfx	떂
gfw	떃
go	떄
goy	떅
gof	떆
gov	떇
gol	떈
gok	떉
gog	떊
goc	떋
gos	떌
goj	떍
gon	떎
gor	떏
gop	떐
got	떑
goi	떒
gwo	떓
goo	떔
goa	떕
goh	떖
gob	떗
gom	떘
goq	떙
gou	떚
god	떛
goz	떜
goe	떝
gox	떞
gow	떟
gj	떠
gjy	떡
gjf	떢
gjv	떣
gjl	떤
gjk	떥
gjg	떦
gjc	떧
gjs	떨
gjj	떩
gjn	떪
gjr	떫
gjp	떬
gjt	떭
gji	떮
gwj	떯
gjo	떰
gja	떱
gjh	떲
gjb	떳
gjm	떴
gjq	떵
gju	떶
gjd	떷
gjz	떸
gje	떹
gjx	떺
gjw	떻
gp	떼
gpy	떽
gpf	떾
gpv	떿
gpl	뗀
gpk	뗁
gpg	뗂
gpc	뗃
gps	뗄
gpj	뗅
gpn	뗆
gpr	뗇
gpp	뗈
gpt	뗉
gpi	뗊
gwp	뗋
gpo	뗌
gpa	뗍
gph	뗎
